epoch,grad_norm,learning_rate,loss,step,eval_auc,eval_f1,eval_loss,eval_mae,eval_mse,eval_precision,eval_r2,eval_recall,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
1.0,0.8593986630439758,4.0007710100231307e-05,0.0413,1297,,,,,,,,,,,,,,,,
1.0,,,,1297,0.9905447522897186,0.9901269393511989,0.0220851581543684,0.3923664689064026,0.16400061547756195,0.9804469273743017,0.3395932912826538,1.0,18.6696,34.762,17.408,,,,,
2.0,0.5000218749046326,3.0007710100231307e-05,0.0155,2594,,,,,,,,,,,,,,,,
2.0,,,,2594,0.9996653855714258,0.9901269393511989,0.0220428965985775,0.3655073642730713,0.1515529900789261,0.9804469273743017,0.38971805572509766,1.0,18.6165,34.861,17.458,,,,,
3.0,0.06781964749097824,2.00077101002313e-05,0.0125,3891,,,,,,,,,,,,,,,,
3.0,,,,3891,0.9998183521673455,0.9915254237288136,0.014395826496183872,0.3685835897922516,0.15268905460834503,0.9831932773109243,0.3851432800292969,1.0,18.2265,35.608,17.831,,,,,
4.0,0.06454350054264069,1.0007710100231302e-05,0.01,5188,,,,,,,,,,,,,,,,
4.0,,,,5188,0.9997705501061206,0.9915014164305949,0.010121229104697704,0.3736319839954376,0.15465746819972992,0.9859154929577465,0.37721681594848633,0.9971509971509972,18.2115,35.637,17.846,,,,,
5.0,1.0559529066085815,7.710100231303007e-09,0.0063,6485,,,,,,,,,,,,,,,,
5.0,,,,6485,0.9998661542285704,0.9957446808510638,0.007726012263447046,0.371227890253067,0.1530398428440094,0.9915254237288136,0.3837307095527649,1.0,18.3021,35.46,17.758,,,,,
5.0,,,,6485,,,,,,,,,,,,968.7323,13.383,6.694,3411204204641280.0,0.005748160545331474
5.0,,,,6485,0.9996653855714258,0.9901269393511989,0.0220428965985775,0.3655073642730713,0.1515529900789261,0.9804469273743017,0.38971805572509766,1.0,18.8356,34.456,17.255,,,,,
